room_id,temperature,humidity,decibel_level,hour,is_weekend,timestamp,ml_classification_status
esp32-room3,22.4,49.8,27.0,23,1,1000074,nyaman
esp32-room3,19.7,46.4,23.2,0,0,1000205,nyaman
esp32-room3,25.9,64.1,62.2,17,0,1000316,cukup_nyaman
esp32-room3,25.9,57.6,71.6,8,0,1000393,cukup_nyaman
esp32-room2,22.3,45.6,43.7,11,1,1000616,nyaman
esp32-room1,23.5,51.1,37.2,20,0,1000681,nyaman
esp32-room1,30.3,64.3,77.2,9,0,1000897,tidak_nyaman
esp32-room1,22.6,49.0,44.1,6,0,1000963,nyaman
esp32-room3,26.9,59.6,47.4,17,0,1001105,nyaman
esp32-room3,24.0,44.1,22.0,1,0,1001272,nyaman
esp32-room1,25.7,52.6,45.5,18,1,1001536,nyaman
esp32-room1,23.0,49.8,35.0,7,1,1001785,nyaman
esp32-room3,24.2,52.0,41.6,7,0,1001893,nyaman
esp32-room3,22.6,45.7,29.4,21,1,1002162,nyaman
esp32-room3,25.1,54.5,47.8,17,1,1002328,nyaman
esp32-room3,26.2,61.0,75.5,9,0,1002492,tidak_nyaman
esp32-room3,29.1,57.8,61.6,16,0,1002600,cukup_nyaman
esp32-room2,28.6,70.7,59.8,17,0,1002795,tidak_nyaman
esp32-room2,25.6,44.8,44.0,11,1,1002865,nyaman
esp32-room1,21.9,48.9,18.6,2,0,1003138,nyaman
esp32-room3,27.9,57.0,62.4,16,1,1003270,cukup_nyaman
esp32-room3,23.5,43.5,18.1,21,0,1003361,nyaman
esp32-room1,25.5,50.7,44.2,10,1,1003421,nyaman
esp32-room1,21.9,46.0,22.6,1,1,1003699,nyaman
esp32-room1,23.4,43.9,11.2,23,0,1003826,nyaman
esp32-room1,27.4,57.5,66.5,13,1,1003883,cukup_nyaman
esp32-room3,26.0,59.4,39.5,20,0,1004010,nyaman
esp32-room3,30.0,66.8,80.1,13,0,1004078,tidak_nyaman
esp32-room2,28.4,65.4,63.7,17,0,1004229,cukup_nyaman
esp32-room1,26.9,62.9,72.9,15,0,1004453,tidak_nyaman
esp32-room1,25.4,48.9,52.3,8,0,1004732,nyaman
esp32-room1,23.8,50.2,22.9,6,1,1004922,nyaman
esp32-room1,24.7,59.9,71.2,15,1,1005047,cukup_nyaman
esp32-room1,24.6,48.6,18.8,21,0,1005203,nyaman
esp32-room3,26.5,59.9,41.6,19,0,1005393,nyaman
esp32-room1,21.6,43.4,19.0,4,1,1005460,nyaman
esp32-room1,25.5,57.0,49.4,18,0,1005525,nyaman
esp32-room1,22.4,39.4,23.8,5,0,1005825,nyaman
esp32-room1,26.5,67.6,69.0,17,0,1005909,cukup_nyaman
esp32-room3,23.3,51.5,60.4,8,0,1006074,nyaman
esp32-room3,22.6,46.3,19.9,1,0,1006238,nyaman
esp32-room1,27.1,60.6,55.1,17,0,1006344,cukup_nyaman
esp32-room3,23.4,48.9,49.8,11,1,1006394,nyaman
esp32-room2,24.7,48.1,38.5,7,1,1006632,nyaman
esp32-room3,25.7,93.9,61.2,7,0,1006872,cukup_nyaman
esp32-room3,21.2,51.3,69.0,7,0,1006921,nyaman
esp32-room2,25.7,66.0,63.9,14,1,1007155,cukup_nyaman
esp32-room2,21.4,48.2,23.7,2,1,1007389,nyaman
esp32-room3,26.9,62.8,69.5,17,0,1007554,cukup_nyaman
esp32-room1,26.3,56.0,71.6,13,1,1007845,cukup_nyaman
esp32-room1,25.1,58.1,39.1,18,0,1007975,nyaman
esp32-room2,22.6,50.9,19.7,21,0,1008068,nyaman
esp32-room3,26.6,65.8,59.5,16,0,1008313,cukup_nyaman
esp32-room3,22.6,46.0,20.1,21,0,1008550,nyaman
esp32-room3,27.7,69.1,61.8,9,0,1008806,cukup_nyaman
esp32-room3,26.2,62.8,40.5,15,1,1008879,cukup_nyaman
esp32-room2,24.6,55.8,53.6,20,0,1009010,nyaman
esp32-room1,23.7,55.5,43.9,7,1,1009273,nyaman
esp32-room2,25.6,62.8,42.0,18,0,1009305,nyaman
esp32-room1,23.5,56.5,73.0,7,0,1009360,cukup_nyaman
esp32-room3,19.9,46.9,13.2,3,1,1009616,nyaman
esp32-room3,23.9,54.2,72.7,16,0,1009727,cukup_nyaman
esp32-room3,26.9,65.0,56.2,14,0,1009879,cukup_nyaman
esp32-room2,20.4,45.3,31.2,22,0,1009950,nyaman
esp32-room1,26.4,54.1,67.5,12,1,1010192,cukup_nyaman
esp32-room1,27.5,54.7,68.8,13,1,1010232,cukup_nyaman
esp32-room3,22.4,42.8,7.0,0,0,1010374,nyaman
esp32-room2,28.6,56.0,60.7,13,1,1010611,cukup_nyaman
esp32-room3,30.0,54.6,43.0,14,1,1010654,cukup_nyaman
esp32-room1,20.9,45.7,16.2,4,0,1010851,nyaman
esp32-room1,28.1,61.1,72.2,10,0,1010922,tidak_nyaman
esp32-room2,22.7,64.3,56.3,17,1,1010987,cukup_nyaman
esp32-room3,22.8,44.2,29.6,0,1,1011075,nyaman
esp32-room3,27.1,59.9,52.0,14,0,1011163,cukup_nyaman
esp32-room1,19.1,39.6,4.5,3,0,1011294,cukup_nyaman
esp32-room1,23.8,57.3,60.4,20,0,1011385,nyaman
esp32-room3,26.3,63.8,97.3,11,0,1011469,tidak_nyaman
esp32-room2,25.7,60.4,42.4,20,0,1011589,nyaman
esp32-room3,24.7,64.2,39.1,20,0,1011756,nyaman
esp32-room2,21.2,43.2,28.6,2,0,1011980,nyaman
esp32-room2,24.3,52.5,47.2,10,1,1012151,nyaman
esp32-room3,21.0,50.5,31.5,6,1,1012304,nyaman
esp32-room3,19.9,46.4,29.7,22,0,1012490,nyaman
esp32-room3,27.5,58.5,62.6,15,0,1012689,cukup_nyaman
esp32-room2,23.2,54.7,53.7,8,0,1012813,nyaman
esp32-room1,26.0,59.1,70.5,15,1,1012987,cukup_nyaman
esp32-room1,28.1,67.5,81.8,9,0,1013044,tidak_nyaman
esp32-room3,21.6,39.7,9.8,4,0,1013080,nyaman
esp32-room3,26.3,62.9,83.1,15,0,1013143,tidak_nyaman
esp32-room2,25.9,56.1,46.1,18,0,1013328,nyaman
esp32-room1,20.3,42.5,10.9,3,0,1013552,nyaman
esp32-room2,27.1,72.8,53.3,9,0,1013612,tidak_nyaman
esp32-room3,22.3,43.1,22.9,3,0,1013730,nyaman
esp32-room3,23.7,39.9,31.7,0,1,1013776,nyaman
esp32-room1,27.6,60.8,65.0,9,0,1013907,cukup_nyaman
esp32-room2,21.5,44.8,31.0,7,1,1013973,nyaman
esp32-room1,22.1,45.8,52.6,9,1,1014158,nyaman
esp32-room3,22.9,47.3,55.0,8,0,1014208,nyaman
esp32-room2,25.0,58.8,62.8,19,0,1014248,nyaman
esp32-room3,24.5,63.5,51.4,18,0,1014504,cukup_nyaman
esp32-room2,23.0,57.9,58.8,18,1,1014698,nyaman
esp32-room3,21.7,42.0,35.8,5,1,1014933,nyaman
esp32-room3,21.6,48.2,33.0,2,1,1014963,nyaman
esp32-room3,26.8,59.8,67.7,14,0,1015248,cukup_nyaman
esp32-room3,21.9,48.8,27.7,1,0,1015340,nyaman
esp32-room1,24.4,58.9,36.0,19,0,1015377,nyaman
esp32-room3,26.1,51.6,51.1,7,0,1015662,cukup_nyaman
esp32-room3,22.1,44.9,40.0,22,0,1015816,nyaman
esp32-room2,28.6,70.0,71.9,12,0,1016058,tidak_nyaman
esp32-room2,26.4,62.0,65.6,16,0,1016338,cukup_nyaman
esp32-room1,26.1,66.2,56.5,15,0,1016464,cukup_nyaman
esp32-room3,26.6,87.1,73.8,12,1,1016689,tidak_nyaman
esp32-room2,26.4,56.4,57.2,20,0,1016770,cukup_nyaman
esp32-room2,27.3,62.2,60.4,14,1,1016879,cukup_nyaman
esp32-room1,22.5,57.2,45.8,8,0,1017103,nyaman
esp32-room2,25.1,62.8,63.4,15,0,1017280,cukup_nyaman
esp32-room1,30.0,64.1,70.9,13,0,1017463,tidak_nyaman
esp32-room1,21.5,44.0,32.5,1,1,1017703,nyaman
esp32-room3,21.7,45.4,27.7,5,0,1017806,nyaman
esp32-room1,22.3,46.3,58.0,8,0,1018074,nyaman
esp32-room2,24.1,48.3,26.7,5,0,1018232,nyaman
esp32-room2,23.4,59.8,54.9,6,0,1018457,nyaman
esp32-room3,29.0,64.8,83.6,9,0,1018512,tidak_nyaman
esp32-room3,27.8,65.5,66.3,9,0,1018654,cukup_nyaman
esp32-room3,23.2,44.3,36.8,8,1,1018704,nyaman
esp32-room2,19.6,38.3,13.8,1,0,1018885,cukup_nyaman
esp32-room2,22.1,50.7,25.4,5,0,1019054,nyaman
esp32-room1,26.2,63.3,58.6,15,1,1019142,cukup_nyaman
esp32-room2,21.5,41.1,14.6,4,0,1019359,nyaman
esp32-room1,19.9,43.8,24.1,0,0,1019523,nyaman
esp32-room3,25.5,56.3,48.2,20,0,1019720,nyaman
esp32-room3,22.3,42.1,18.3,2,1,1019959,nyaman
esp32-room1,21.5,49.4,38.7,1,1,1020221,nyaman
esp32-room2,23.4,44.4,15.6,23,0,1020330,nyaman
esp32-room2,24.9,55.7,62.7,15,0,1020587,nyaman
esp32-room1,23.3,47.8,19.1,3,0,1020800,nyaman
esp32-room1,26.4,50.1,56.6,6,0,1020840,cukup_nyaman
esp32-room1,23.0,59.0,54.0,7,0,1020976,nyaman
esp32-room3,23.7,52.0,45.5,7,1,1021080,nyaman
esp32-room1,21.4,50.2,30.2,5,0,1021293,nyaman
esp32-room1,21.7,45.2,19.5,0,0,1021566,nyaman
esp32-room2,25.5,58.4,60.1,16,0,1021618,nyaman
esp32-room3,20.7,45.4,27.8,21,0,1021853,nyaman
esp32-room2,26.9,61.0,56.6,15,0,1022047,cukup_nyaman
esp32-room3,21.7,50.6,18.2,4,1,1022227,nyaman
esp32-room2,27.7,70.1,79.3,13,0,1022367,tidak_nyaman
esp32-room2,21.6,55.9,44.6,7,0,1022557,nyaman
